,Title,Employee,Location,type,Expire_date,catogry
0,Recovery Officer,Citizens Development Business Finance PLC (CDB),IslandWide,Full-Time,26/05/2022 ,recoveries
1,Collections Manager/ Head Manager/ Head Recoveries,A V Business Solutions Private Limited,Colombo,Full-Time,27/05/2022 ,recoveries
2,Tele Calling Agents (Fixed Term Contract) - Colombo,Nations Trust Bank,Colombo,Contract Basis,30/05/2022 ,recoveries
3,Deputy Relationship Manager - Branch Credit,Nations Trust Bank,Colombo,Full-Time,25/05/2022 ,recoveries
4,Recoveries Agent - Collections & Recoveries ,Nations Trust Bank,Colombo,Full-Time,27/05/2022 ,recoveries
5,Coordinator - Recoveries (Gampaha),LOLC Development Finance,Gampaha,Full-Time,26/05/2022 ,recoveries
6,Manager - Recovery,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,recoveries
7,External Trainers,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,recoveries
8,Executive - Credit Card Recoveries (Contact Centre),Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,26/05/2022 ,recoveries
9,Recovery Officers - Chavankachchery/ Digana/ Moratuwa/ Kurunegala/ Kalutara/ Wennappuwa/ Hatton,Asia Asset Finance PLC,"Colombo,Kandy,Jaff...",Full-Time,30/05/2022 ,recoveries
10,Tele Calling Agents (Fixed Term Contract) - Colombo,Nations Trust Bank,Colombo,Contract Basis,30/05/2022 ,recoveries
11,Recovery Officer,Citizens Development Business Finance PLC (CDB),IslandWide,Full-Time,26/05/2022 ,recoveries
12,Coordinator - Recoveries (Gampaha),LOLC Development Finance,Gampaha,Full-Time,26/05/2022 ,recoveries
13,Manager - Recovery,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,recoveries
14,Executive - Credit Card Recoveries (Contact Centre),Citizens Development Business Finance PLC (CDB),Colombo,Full-Time,26/05/2022 ,recoveries
15,Collections Manager/ Head Manager/ Head Recoveries,A V Business Solutions Private Limited,Colombo,Full-Time,27/05/2022 ,recoveries
16,Recovery Officers - Chavankachchery/ Digana/ Moratuwa/ Kurunegala/ Kalutara/ Wennappuwa/ Hatton,Asia Asset Finance PLC,"Colombo,Kandy,Jaff...",Full-Time,30/05/2022 ,recoveries
17,Deputy Relationship Manager - Branch Credit,Nations Trust Bank,Colombo,Full-Time,25/05/2022 ,recoveries
18,External Trainers,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,recoveries
19,Recoveries Agent - Collections & Recoveries ,Nations Trust Bank,Colombo,Full-Time,27/05/2022 ,recoveries
20,Senior Executive / Executive – Sales & Marketing,Abans Finance PLC,Colombo,Full-Time,17/05/2022 ,recoveries
21,Recovery Officer - Leasing (Asset Backed) ,LOLC Development Finance,IslandWide,Full-Time,18/05/2022 ,recoveries
22,Senior Executive / Executive - Credit / Marketing,Abans Finance PLC,"Colombo,Kandy,Gall...",Full-Time,17/05/2022 ,recoveries
23,Trainee Credit Executive,Abans PLC,Colombo,Full-Time,24/05/2022 ,recoveries
24,Senior Business Analyst,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,24/05/2022 ,recoveries
25,Field Collection Executives - ක්ෂේත්‍ර එකතු කිරීමේ විධායකයින්,Abans PLC,Colombo,Full-Time,25/05/2022 ,recoveries
26,Wealth Planner,AIA Insurance,Colombo,Full-Time,19/05/2022 ,recoveries
27,Finance Associate - Debtor Collections (Female Candidate Only) -  Homagama,Watercare Technologies (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,recoveries
28,Assistant Manager - Credit / Marketing ,Abans Finance PLC,"Colombo,Kandy,Gall...",Full-Time,17/05/2022 ,recoveries
29,Recovery Officer | Island wide,LOLC Development Finance,IslandWide,Full-Time,18/05/2022 ,recoveries
